cbsa_code,U.S. Regional Title,patents,name_clean
141940,"San Jose-Sunnyvale-Santa Clara, CA",14618.0,san josesunnyvalesanta clara ca
135620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",7754.0,new yorknorthern new jerseylong island nynjpa
141860,"San Francisco-Oakland-Fremont, CA",9732.0,san franciscooaklandfremont ca
131100,"Los Angeles-Long Beach-Santa Ana, CA",6476.0,los angeleslong beachsanta ana ca
114460,"Boston-Cambridge-Quincy, MA-NH",5949.0,bostoncambridgequincy manh
116980,"Chicago-Joliet-Naperville, IL-IN-WI",3909.0,chicagojolietnaperville ilinwi
141740,"San Diego-Carlsbad-San Marcos, CA",5460.0,san diegocarlsbadsan marcos ca
142660,"Seattle-Tacoma-Bellevue, WA",4739.0,seattletacomabellevue wa
133460,"Minneapolis-St. Paul-Bloomington, MN-WI",3419.0,minneapolisst paulbloomington mnwi
119820,"Detroit-Warren-Livonia, MI",3305.0,detroitwarrenlivonia mi
119100,"Dallas-Fort Worth-Arlington, TX",3026.0,dallasfort wortharlington tx
112420,"Austin-Round Rock-San Marcos, TX",2700.0,austinround rocksan marcos tx
137980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2357.0,philadelphiacamdenwilmington panjdemd
126420,"Houston-Sugar Land-Baytown, TX",3186.0,houstonsugar landbaytown tx
138900,"Portland-Vancouver-Hillsboro, OR-WA",2163.0,portlandvancouverhillsboro orwa
147900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2310.0,washingtonarlingtonalexandria dcvamdwv
112060,"Atlanta-Sandy Springs-Marietta, GA",2143.0,atlantasandy springsmarietta ga
138060,"Phoenix-Mesa-Glendale, AZ",1764.0,phoenixmesaglendale az
140380,"Rochester, NY",1217.0,rochester ny
114260,"Boise City-Nampa, ID",722.0,boise citynampa id
139580,"Raleigh-Cary, NC",1535.0,raleighcary nc
133100,"Miami-Fort Lauderdale-Pompano Beach, FL",1338.0,miamifort lauderdalepompano beach fl
117140,"Cincinnati-Middletown, OH-KY-IN",1048.0,cincinnatimiddletown ohkyin
119740,"Denver-Aurora-Broomfield, CO",1202.0,denveraurorabroomfield co
117460,"Cleveland-Elyria-Mentor, OH",922.0,clevelandelyriamentor oh
138300,"Pittsburgh, PA",895.0,pittsburgh pa
110580,"Albany-Schenectady-Troy, NY",1090.0,albanyschenectadytroy ny
112580,"Baltimore-Towson, MD",846.0,baltimoretowson md
141180,"St. Louis, MO-IL",779.0,st louis moil
139100,"Poughkeepsie-Newburgh-Middletown, NY",871.0,poughkeepsienewburghmiddletown ny
114860,"Bridgeport-Stamford-Norwalk, CT",636.0,bridgeportstamfordnorwalk ct
114500,"Boulder, CO",831.0,boulder co
133340,"Milwaukee-Waukesha-West Allis, WI",689.0,milwaukeewaukeshawest allis wi
125540,"Hartford-West Hartford-East Hartford, CT",845.0,hartfordwest hartfordeast hartford ct
126900,"Indianapolis-Carmel, IN",735.0,indianapoliscarmel in
128140,"Kansas City, MO-KS",816.0,kansas city moks
111460,"Ann Arbor, MI",785.0,ann arbor mi
140900,"Sacramento--Arden-Arcade--Roseville, CA",659.0,sacramentoardenarcaderoseville ca
137100,"Oxnard-Thousand Oaks-Ventura, CA",571.0,oxnardthousand oaksventura ca
114740,"Bremerton-Silverdale, WA",907.0,bremertonsilverdale wa
142100,"Santa Cruz-Watsonville, CA",678.0,santa cruzwatsonville ca
149340,"Worcester, MA",637.0,worcester ma
146060,"Tucson, AZ",641.0,tucson az
139300,"Providence-New Bedford-Fall River, RI-MA",496.0,providencenew bedfordfall river rima
120500,"Durham-Chapel Hill, NC",607.0,durhamchapel hill nc
145300,"Tampa-St. Petersburg-Clearwater, FL",624.0,tampast petersburgclearwater fl
141620,"Salt Lake City, UT",643.0,salt lake city ut
115540,"Burlington-South Burlington, VT",367.0,burlingtonsouth burlington vt
118140,"Columbus, OH",445.0,columbus oh
135300,"New Haven-Milford, CT",457.0,new havenmilford ct
140140,"Riverside-San Bernardino-Ontario, CA",484.0,riversidesan bernardinoontario ca
140340,"Rochester, MN",564.0,rochester mn
122660,"Fort Collins-Loveland, CO",392.0,fort collinsloveland co
145940,"Trenton-Ewing, NJ",542.0,trentonewing nj
110420,"Akron, OH",373.0,akron oh
131540,"Madison, WI",455.0,madison wi
110900,"Allentown-Bethlehem-Easton, PA-NJ",320.0,allentownbethlehemeaston panj
137340,"Palm Bay-Melbourne-Titusville, FL",450.0,palm baymelbournetitusville fl
131700,"Manchester-Nashua, NH",376.0,manchesternashua nh
136740,"Orlando-Kissimmee-Sanford, FL",446.0,orlandokissimmeesanford fl
116740,"Charlotte-Gastonia-Rock Hill, NC-SC",451.0,charlottegastoniarock hill ncsc
141700,"San Antonio-New Braunfels, TX",413.0,san antonionew braunfels tx
115380,"Buffalo-Niagara Falls, NY",254.0,buffaloniagara falls ny
142060,"Santa Barbara-Santa Maria-Goleta, CA",468.0,santa barbarasanta mariagoleta ca
110740,"Albuquerque, NM",294.0,albuquerque nm
124860,"Greenville-Mauldin-Easley, SC",479.0,greenvillemauldineasley sc
