cbsa_code,name,patents,year
141940,"San Jose-Sunnyvale-Santa Clara, CA",5812.0,2000
135620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",5689.0,2000
141860,"San Francisco-Oakland-Fremont, CA",3625.0,2000
131100,"Los Angeles-Long Beach-Santa Ana, CA",3877.0,2000
114460,"Boston-Cambridge-Quincy, MA-NH",2972.0,2000
116980,"Chicago-Joliet-Naperville, IL-IN-WI",3101.0,2000
141740,"San Diego-Carlsbad-San Marcos, CA",1724.0,2000
142660,"Seattle-Tacoma-Bellevue, WA",1141.0,2000
133460,"Minneapolis-St. Paul-Bloomington, MN-WI",2244.0,2000
119820,"Detroit-Warren-Livonia, MI",2120.0,2000
119100,"Dallas-Fort Worth-Arlington, TX",2116.0,2000
112420,"Austin-Round Rock-San Marcos, TX",1680.0,2000
137980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2185.0,2000
126420,"Houston-Sugar Land-Baytown, TX",1767.0,2000
138900,"Portland-Vancouver-Hillsboro, OR-WA",988.0,2000
147900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1218.0,2000
112060,"Atlanta-Sandy Springs-Marietta, GA",1023.0,2000
138060,"Phoenix-Mesa-Glendale, AZ",1259.0,2000
140380,"Rochester, NY",1382.0,2000
114260,"Boise City-Nampa, ID",1450.0,2000
139580,"Raleigh-Cary, NC",672.0,2000
133100,"Miami-Fort Lauderdale-Pompano Beach, FL",989.0,2000
117140,"Cincinnati-Middletown, OH-KY-IN",864.0,2000
119740,"Denver-Aurora-Broomfield, CO",627.0,2000
117460,"Cleveland-Elyria-Mentor, OH",772.0,2000
138300,"Pittsburgh, PA",736.0,2000
110580,"Albany-Schenectady-Troy, NY",495.0,2000
112580,"Baltimore-Towson, MD",645.0,2000
141180,"St. Louis, MO-IL",632.0,2000
139100,"Poughkeepsie-Newburgh-Middletown, NY",523.0,2000
114860,"Bridgeport-Stamford-Norwalk, CT",669.0,2000
114500,"Boulder, CO",458.0,2000
133340,"Milwaukee-Waukesha-West Allis, WI",532.0,2000
125540,"Hartford-West Hartford-East Hartford, CT",481.0,2000
126900,"Indianapolis-Carmel, IN",544.0,2000
128140,"Kansas City, MO-KS",291.0,2000
111460,"Ann Arbor, MI",371.0,2000
140900,"Sacramento--Arden-Arcade--Roseville, CA",441.0,2000
137100,"Oxnard-Thousand Oaks-Ventura, CA",375.0,2000
114740,"Bremerton-Silverdale, WA",208.0,2000
142100,"Santa Cruz-Watsonville, CA",355.0,2000
149340,"Worcester, MA",362.0,2000
146060,"Tucson, AZ",268.0,2000
139300,"Providence-New Bedford-Fall River, RI-MA",472.0,2000
120500,"Durham-Chapel Hill, NC",325.0,2000
145300,"Tampa-St. Petersburg-Clearwater, FL",407.0,2000
141620,"Salt Lake City, UT",374.0,2000
115540,"Burlington-South Burlington, VT",311.0,2000
118140,"Columbus, OH",342.0,2000
135300,"New Haven-Milford, CT",385.0,2000
140140,"Riverside-San Bernardino-Ontario, CA",362.0,2000
140340,"Rochester, MN",262.0,2000
122660,"Fort Collins-Loveland, CO",302.0,2000
145940,"Trenton-Ewing, NJ",349.0,2000
110420,"Akron, OH",318.0,2000
131540,"Madison, WI",238.0,2000
110900,"Allentown-Bethlehem-Easton, PA-NJ",387.0,2000
137340,"Palm Bay-Melbourne-Titusville, FL",217.0,2000
131700,"Manchester-Nashua, NH",260.0,2000
136740,"Orlando-Kissimmee-Sanford, FL",183.0,2000
116740,"Charlotte-Gastonia-Rock Hill, NC-SC",273.0,2000
141700,"San Antonio-New Braunfels, TX",245.0,2000
115380,"Buffalo-Niagara Falls, NY",363.0,2000
142060,"Santa Barbara-Santa Maria-Goleta, CA",171.0,2000
110740,"Albuquerque, NM",223.0,2000
124860,"Greenville-Mauldin-Easley, SC",136.0,2000
129820,"Las Vegas-Paradise, NV",167.0,2000
117820,"Colorado Springs, CO",272.0,2000
139340,"Provo-Orem, UT",132.0,2000
119380,"Dayton, OH",274.0,2000
118700,"Corvallis, OR",131.0,2000
137900,"Peoria, IL",236.0,2000
132820,"Memphis, TN-MS-AR",153.0,2000
139900,"Reno-Sparks, NV",115.0,2000
142220,"Santa Rosa-Petaluma, CA",148.0,2000
124540,"Greeley, CO",118.0,2000
140060,"Richmond, VA",166.0,2000
130460,"Lexington-Fayette, KY",176.0,2000
119780,"Des Moines-West Des Moines, IA",119.0,2000
134980,"Nashville-Davidson--Murfreesboro--Franklin, TN",155.0,2000
128940,"Knoxville, TN",170.0,2000
145060,"Syracuse, NY",195.0,2000
124340,"Grand Rapids-Wyoming, MI",174.0,2000
131140,"Louisville/Jefferson County, KY-IN",147.0,2000
113780,"Binghamton, NY",221.0,2000
126100,"Holland-Grand Haven, MI",166.0,2000
126620,"Huntsville, AL",103.0,2000
145780,"Toledo, OH",202.0,2000
147260,"Virginia Beach-Norfolk-Newport News, VA-NC",148.0,2000
136420,"Oklahoma City, OK",178.0,2000
111540,"Appleton, WI",148.0,2000
116300,"Cedar Rapids, IA",101.0,2000
127260,"Jacksonville, FL",111.0,2000
115940,"Canton-Massillon, OH",108.0,2000
146140,"Tulsa, OK",135.0,2000
135980,"Norwich-New London, CT",165.0,2000
123060,"Fort Wayne, IN",153.0,2000
124660,"Greensboro-High Point, NC",129.0,2000
136260,"Ogden-Clearfield, UT",131.0,2000
144140,"Springfield, MA",111.0,2000
125420,"Harrisburg-Carlisle, PA",142.0,2000
135840,"North Port-Bradenton-Sarasota, FL",108.0,2000
136780,"Oshkosh-Neenah, WI",128.0,2000
135380,"New Orleans-Metairie-Kenner, LA",155.0,2000
138860,"Portland-South Portland-Biddeford, ME",74.0,2000
123540,"Gainesville, FL",101.0,2000
129540,"Lancaster, PA",111.0,2000
136540,"Omaha-Council Bluffs, NE-IA",95.0,2000
116580,"Champaign-Urbana, IL",62.0,2000
148620,"Wichita, KS",97.0,2000
127060,"Ithaca, NY",92.0,2000
129140,"Lafayette, IN",88.0,2000
140420,"Rockford, IL",101.0,2000
122420,"Flint, MI",81.0,2000
149180,"Winston-Salem, NC",82.0,2000
128020,"Kalamazoo-Portage, MI",109.0,2000
149620,"York-Hanover, PA",83.0,2000
113820,"Birmingham-Hoover, AL",64.0,2000
112940,"Baton Rouge, LA",167.0,2000
143780,"South Bend-Mishawaka, IN-MI",69.0,2000
139540,"Racine, WI",89.0,2000
128700,"Kingsport-Bristol-Bristol, TN-VA",126.0,2000
138940,"Port St. Lucie, FL",43.0,2000
129620,"Lansing-East Lansing, MI",84.0,2000
121500,"Erie, PA",103.0,2000
144060,"Spokane, WA",53.0,2000
